id_cliente,edad,ingreso_anual,gasto_mensual,estado_civil,default_de_pago
1,56,96163.5488563715,2918.280213220653,Divorciado,0
2,69,77721.23791914032,4639.3502738574225,Casado,0
3,46,62120.09446346906,2058.5569746468254,Viudo,0
4,32,66996.26342991994,2061.2894085330245,Soltero,0
5,60,50666.005306362145,3818.755616493868,Viudo,0
6,25,36057.13410759838,2534.9807340041325,Soltero,0
7,38,45257.67768535724,1510.7217032299188,Divorciado,0
8,56,79416.91938947138,2535.9778225971204,Soltero,0
9,36,16223.446533529248,1133.8565917090993,Divorciado,0
10,40,24866.174443087883,1293.741439278005,Viudo,0
11,28,18910.224571848983,2742.654977327659,Divorciado,1
12,28,18461.948197112462,2385.1645227704657,Viudo,0
13,41,87714.14964093562,4616.806554806451,Casado,0
14,53,74810.91804730201,2130.772546024849,Casado,0
15,57,55304.77547242264,3112.6475762511955,Casado,0
16,41,23315.903655335125,3345.1892956378865,Divorciado,1
17,20,56787.34938493075,558.9250546475014,Casado,0
18,39,55245.10051634808,3485.918174075198,Soltero,1
19,19,29722.158942351292,1301.1618509138814,Viudo,0
20,41,51877.390185227705,4824.816428612548,Viudo,0
21,61,48872.902423776744,1168.9822748890083,Soltero,1
22,47,67347.2583344384,2365.808556771607,Divorciado,0
23,55,68982.96032374972,884.0735063538973,Divorciado,0
24,19,18850.840830623783,4985.934133306763,Viudo,0
25,38,46842.072243250055,2759.8775464905916,Casado,0
26,50,68198.0928357101,3179.232577940197,Divorciado,1
27,29,57766.581979307455,801.8441482479236,Divorciado,0
28,39,87801.6365010074,3874.8221167963,Soltero,0
29,61,70988.95868761033,1444.575168930136,Soltero,0
30,42,28849.42630192152,4541.244302483212,Casado,0
31,66,20998.343529036538,1423.1283821690322,Divorciado,0
32,44,69605.63864753683,1358.0947429864996,Divorciado,0
33,59,17253.461396037856,664.473505316427,Soltero,0
34,45,64790.924408244384,2624.3012529949965,Divorciado,1
35,33,94919.5705211214,3041.7850996817738,Viudo,0
36,32,63915.30511944971,795.6888774275856,Soltero,0
37,64,47994.44372755436,3989.8742751275477,Casado,1
38,68,69679.49856760002,2539.7997563661243,Soltero,0
