id_producto,nombre_producto,precio,ventas,categoria
1,Producto A,38.438685762895076,204,Alimentos
2,Producto B,17.78728853094576,165,Alimentos
3,Producto C,43.65327307044467,34,Electrónica
4,Producto D,34.789475969557,202,Alimentos
5,Producto E,8.061034300308723,247,Alimentos
6,Producto F,34.68451006997976,239,Electrónica
7,Producto G,18.34324374347394,35,Electrónica
8,Producto H,17.231721234765097,106,Alimentos
9,Producto I,37.20670337440816,79,Hogar
10,Producto J,22.887491717713555,66,Electrónica
11,Producto K,16.772732582908933,39,Electrónica
12,Producto L,32.11323702110958,129,Electrónica
13,Producto M,26.273373235635827,278,Hogar
14,Producto N,7.934896050957185,254,Electrónica
15,Producto O,12.035868298490938,231,Electrónica
16,Producto P,8.479892831581353,168,Alimentos
17,Producto Q,14.354820774369239,183,Alimentos
18,Producto R,8.62972550291979,71,Hogar
19,Producto S,25.115599851425223,38,Electrónica
20,Producto T,18.395162061233027,296,Electrónica
21,Producto U,14.517605107345743,91,Electrónica
22,Producto V,19.901151098666674,274,Hogar
23,Producto W,19.182323826458756,85,Alimentos
24,Producto X,19.49581709246104,81,Alimentos
25,Producto Y,47.67104096499029,108,Electrónica
26,Producto Z,38.62581212781853,175,Electrónica
27,Producto A,20.852748557027354,175,Hogar
28,Producto B,47.75087858167134,284,Electrónica
29,Producto C,22.490542547528072,237,Alimentos
30,Producto D,26.12781574202225,263,Electrónica
31,Producto E,42.23650434910904,94,Alimentos
32,Producto F,11.41733542774712,215,Hogar
33,Producto G,47.14141502928636,258,Electrónica
34,Producto H,23.738517449379074,198,Electrónica
35,Producto I,29.074764855384114,245,Electrónica
36,Producto J,37.96628067922441,220,Electrónica
37,Producto K,41.0542731607225,84,Alimentos
38,Producto L,24.0732073080204,119,Electrónica
39,Producto M,5.42655765573251,122,Electrónica
40,Producto N,17.430528867867935,161,Hogar
41,Producto O,17.5094574313689,213,Hogar
42,Producto P,8.24912008041839,150,Electrónica
43,Producto Q,28.63337657941921,295,Alimentos
44,Producto R,28.464850726573736,143,Alimentos
45,Producto S,21.360057904385723,283,Hogar
46,Producto T,46.26026748359042,107,Electrónica
47,Producto U,33.02440294234812,281,Electrónica
48,Producto V,49.843855639816944,196,Hogar
49,Producto W,37.72305948477848,222,Hogar
50,Producto X,23.638977294169376,138,Alimentos
51,Producto Y,35.71456402709107,130,Alimentos
52,Producto Z,37.361870580075525,30,Electrónica
53,Producto A,22.43392167093227,69,Electrónica
54,Producto B,45.83827840391211,298,Alimentos
55,Producto C,10.42763345930053,106,Electrónica
56,Producto D,10.765471385935637,109,Alimentos
57,Producto E,30.338565571569763,146,Hogar
58,Producto F,28.811459726540924,197,Alimentos
59,Producto G,5.860991294920833,52,Alimentos
60,Producto H,40.95374882579524,290,Hogar
61,Producto I,13.20564475802671,128,Hogar
62,Producto J,5.574752403349468,172,Hogar
63,Producto K,23.282664751776213,217,Alimentos
64,Producto L,40.11583760083836,183,Electrónica
65,Producto M,6.863928525541624,299,Alimentos
66,Producto N,10.730275767560975,174,Hogar
67,Producto O,5.190198579772576,234,Alimentos
68,Producto P,40.54050849518314,117,Electrónica
69,Producto Q,29.56965899812766,74,Alimentos
70,Producto R,23.700104748410553,56,Hogar
71,Producto S,42.310851501695915,221,Hogar
72,Producto T,5.956331154622672,237,Hogar
73,Producto U,33.520653854422235,299,Hogar
74,Producto V,27.541585984866874,289,Electrónica
75,Producto W,19.96217171505867,299,Alimentos
76,Producto X,19.30602338308994,149,Hogar
77,Producto Y,21.929184539258134,173,Alimentos
78,Producto Z,44.59181794354509,205,Electrónica
79,Producto A,8.151138234757084,38,Hogar
80,Producto B,41.17958295635336,52,Hogar
81,Producto C,7.465427255072848,206,Alimentos
82,Producto D,42.01932267405036,146,Hogar
83,Producto E,38.99034341817711,250,Alimentos
84,Producto F,49.97969331856057,264,Alimentos
85,Producto G,19.85601133789263,137,Electrónica
86,Producto H,12.516424981065608,175,Electrónica
87,Producto I,18.449821952690115,199,Electrónica
88,Producto J,23.027312316171088,206,Electrónica
89,Producto K,26.20692740086688,293,Hogar
90,Producto L,37.783662274521866,183,Hogar
91,Producto M,24.13362539165311,172,Electrónica
92,Producto N,46.13121817948965,144,Hogar
93,Producto O,49.131214302662,57,Alimentos
94,Producto P,9.108142776533274,162,Alimentos
95,Producto Q,17.149900118212944,178,Electrónica
96,Producto R,6.458633554323293,205,Hogar
97,Producto S,19.628315080231765,123,Hogar
98,Producto T,8.729721568325804,216,Hogar
99,Producto U,15.886269672169364,139,Alimentos
100,Producto V,42.890693649774924,292,Hogar
101,Producto W,13.715284764363908,115,Electrónica
102,Producto X,8.73231495233018,65,Alimentos
103,Producto Y,23.716307013672164,113,Electrónica
104,Producto Z,39.91985548214132,134,Electrónica
105,Producto A,22.45776551180615,203,Alimentos
106,Producto B,15.553749538767823,126,Electrónica
107,Producto C,42.06061226923482,210,Hogar
108,Producto D,10.023592361657098,285,Hogar
109,Producto E,34.98799654328012,31,Hogar
110,Producto F,35.13281820988722,285,Alimentos
111,Producto G,47.04966814727172,216,Alimentos
112,Producto H,47.236296980926596,59,Hogar
113,Producto I,12.999392116032668,49,Electrónica
114,Producto J,48.95715559786872,66,Alimentos
115,Producto K,5.1100331224043405,117,Electrónica
116,Producto L,8.446853963395512,165,Hogar
117,Producto M,43.62409251396862,187,Alimentos
118,Producto N,5.1875818397318,226,Electrónica
119,Producto O,27.81304906261421,289,Hogar
120,Producto P,28.500706521836932,152,Electrónica
121,Producto Q,6.412232238652312,31,Alimentos
122,Producto R,27.666097081587164,267,Electrónica
123,Producto S,11.220797955028534,40,Electrónica
124,Producto T,6.326149074373184,47,Hogar
125,Producto U,25.096290723781813,86,Alimentos
126,Producto V,38.49926452624689,259,Hogar
127,Producto W,41.68359256248458,176,Electrónica
128,Producto X,29.962588684530388,128,Alimentos
